word,Lg10WF,AoA,Prevalence,SemD,Conc.M
the,6.1766,3.185058226,2.33,2.37,1.43
to,6.0632,3.341749677,2.07,2.37,1.55
a,6.0175,,,,1.46
you,6.3293,3.210505,2.58,2.03,4.11
and,5.8343,3.0105775,2.43,2.37,1.52
it,5.9839,3.09571375,2.44,2.36,2.81
s,6.0242,,,,
of,5.7712,4.020605313,2.32,2.37,1.67
for,5.5461,3.668887188,2.26,2.38,1.63
i,6.3093,2.92813,1.72,,3.93
in,5.6976,3.4158625,2.12,2.37,3
on,5.5499,3.332797188,2.25,2.38,3.25
is,5.6624,4.63137,1.98,2.37,1.59
that,5.8571,3.947581563,2.43,2.35,1.54
what,5.7007,3.9199975,2.45,2.19,2
be,5.467,4.63137,2.03,2.37,1.85
have,5.4973,4.149603333,2.34,2.35,2.18
are,5.4243,4.63137,2.34,2.35,1.96
this,5.6095,3.725796129,2.33,2.37,2.14
no,5.4837,1.813204375,2.26,2.31,2.45
we,5.6624,3.404063125,2.25,2.21,3.08
me,5.6733,2.472991935,2.33,1.85,4.33
t,5.8653,,,,
there,5.3459,4.43065,2.43,2.34,2.2
can,5.4275,3.817445054,2.21,2.32,4.55
here,5.3632,3.844317419,2.25,2.1,3.13
with,5.4107,4.186579375,2.58,2.37,2
but,5.3527,4.012634688,2.33,2.33,2.04
he,5.5905,3.083369839,2.2,2.2,3.93
now,5.2131,3.950214032,2.34,2.24,1.48
so,5.3354,4.00008,2.23,2.28,1.42
my,5.5377,2.973265,2.17,1.92,2.42
not,5.442,4.049064032,2.23,2.34,2.08
do,5.4954,5.019301667,2.42,2.23,2.46
your,5.5168,4.64812,2.32,1.88,2.37
at,5.215,3.467045313,2.24,2.35,2.07
one,5.195,2.633555,2.58,2.36,3.97
up,5.2722,3.079929063,2.32,2.3,3.83
was,5.46,4.63137,2.43,2.33,1.69
go,5.2866,3.365325484,2.16,2.07,3.15
out,5.2948,4.028419375,2.41,2.27,2.73
how,5.1928,5.332456563,2.26,2.18,1.35
like,5.3095,4.226994032,2.58,2.16,1.89
if,5.2567,3.855035,2.32,2.29,1.19
know,5.4651,4.685077957,2.58,1.98,1.68
just,5.3842,6.085077903,2.35,2.16,1.52
